lambda,m,0,1,2,3,4
0.050000,0.500000,3583.579346,4086.186279,4684.003906,2027.496094,1274.423828
0.050000,3.000000,3583.574463,4086.183105,4684.000977,2027.495117,1274.423828
0.050000,5.000000,3583.579346,4086.186279,4684.003906,2027.496094,1274.423828
1.000000,0.500000,2113.013428,2229.755859,2524.553223,767.549805,245.177734
1.000000,3.000000,2174.090088,2300.659180,2605.868164,802.507812,266.345703
1.000000,5.000000,2174.090820,2300.659180,2605.867188,802.509766,266.344727
3.000000,0.500000,635.666504,630.839355,708.711914,161.549805,4.589844
3.000000,3.000000,682.430176,678.545410,762.262207,175.135742,6.201172
3.000000,5.000000,719.588867,716.518066,805.046875,186.256836,7.758789
5.000000,0.500000,280.564453,274.628906,308.342773,66.010742,0.541992
5.000000,3.000000,310.370117,304.294922,341.353516,73.285156,0.120117
5.000000,5.000000,334.115723,327.902832,367.778809,79.209961,0.000000
10.000000,0.500000,0.000000,0.000000,0.000000,0.000000,6.906250
10.000000,3.000000,15.619629,15.147949,16.965820,3.426758,6.330078
10.000000,5.000000,28.077637,27.260742,30.512695,6.198242,5.882812
